Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?,hub_delta_v_less_than_1mph,hub_zip_code,hub_location,hub_crash_type,hub_is_police_reported,hub_is_any_injury_reported,data_period,VIN Decoded,Make - Unknown,Automation Feature Version,Automation Feature Version CBI,Engagement Status,Source - Internal Process Review,Source - NHTSA VOQ,Source - Other - See Narrative,Source - Other Entity,Source - State or Other Agency,Roadway-Degraded Surface,Roadway-Missing/Degraded Marking,Roadway-No Unusual Conditions,Roadway-Other-See Narrative,Roadway-Traffic Incident,Roadway-Unknown,Roadway-Wet Surface Condition,Roadway-Work Zone,Weather - Partly Cloudy,Weather - Fog/Smoke/Haze,Weather - Dust Storm,Weather - Severe Hurricane,Weather - Structure-Indoor,Weather - Unk - See Narrative,Any Air Bags Deployed?,Was Any Vehicle Towed?,Were All Passengers Belted?
30270-10004,1,Waymo LLC,Monthly,1.0,2025.0,FEB-2025,SADHW2S14R1, ,,Jaguar,I-Pace, ,2024.0, ,1529671f5525447,24873.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA PUC, CA DMV",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,JAN-2025,20:51, ,41320a9363bd12f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0.0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 8:51 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX]t. 
The Waymo AV was parked next to the curb on [XXX] facing eastbound between [XXX]  when the passenger side rear view mirror of a passenger car traveling in the rightmost lane made contact with the driver side rear view mirror of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Waymo became aware that the Waymo AV sustained damage as a result of this collision on January [XXX], 2025.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,94102,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9601,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S13R1, ,,JLR,I-PACE, ,2024.0, ,f34dfcb15dd4eff,30916.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,11:51, ,a14083800a8a655,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,15.0, ,Daylight, , ,Y, , , , , ,,Passenger Car,No Injuries Reported,Yes,Backing,No,No, ,Y, , , , , , , , , ,Stopped,No,No,Yes,0.0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 11:51 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was stopped at a red light on northeast bound [XXX], preparing to make an unprotected left turn onto [XXX]. While the Waymo AV remained stopped, a passenger car traveling northwest on [XXX] made a left turn onto southwest [XXX]. As the passenger car was passing the stopped Waymo AV, the passenger car began to reverse. As the passenger car continued to reverse, and just as the traffic light changed to green, the driver side of the passenger car made contact with the front driver side of the stopped Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94103,SAN_FRANCISCO,V2V Head-on,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9592,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S15R1, ,,JLR,I-PACE, ,2024.0, ,8a54935b6151919,11591.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,16:02, ,9c7c76d68622f2c,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Wet,No Unusual Conditions,25.0, ,Daylight, , , ,Y, , , , ,,Passenger Car,No Injuries Reported,Yes,Changing Lanes,No,No, , , , , , , ,Y, , , ,Stopped,No,No,No Passengers in Vehicle,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 4:02 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX].
The Waymo AV was traveling northbound on [XXX] and came to a stop, as southbound traffic passed double parked cars in the southbound lane. A passenger car traveling behind the Waymo AV began to pass the Waymo AV on the left side, and the passenger side of the passenger car made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger car sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94108,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9595,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S15R1, ,,JLR,I-PACE, ,2024.0, ,0e239a9b1c0a234,19972.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,09:11, ,e5989c0c5a1aece,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,20.0, ,Daylight, , ,Y, , , , , ,,Pickup Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Stopped,No,No,No Passengers in Vehicle,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 9:11 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was stopped in the rightmost lane of northbound [XXX] after a passenger drop off. While the Waymo AV remained stopped, a pickup truck entered northbound [XXX] behind the Waymo AV as it was making a right turn from westbound [XXX]. As the pickup truck was passing the Waymo AV in the left adjacent lane, the passenger side of the pickup truck made contact with the rear driver side of the stopped Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The pickup truck sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01.", ,False,94108,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9591,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S12M1, ,,JLR,I-PACE, ,2021.0, ,415510c86f8a0cf,170089.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),ADOT,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,23:25, ,f5a328bf18fba9b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,40.0, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,"No, see Narrative",0.0, , , , ,Y, , , , , , , , , ,Y, ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 11:25 PM MT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving an SUV on [XXX] at [XXX].
The Waymo AV was traveling eastbound on [XXX] and stopped in a queue of traffic for a red light at the intersection with [XXX]. An SUV approached the Waymo AV from behind, and the front of the SUV made contact with the rear of the stationary Waymo AV.  The passengers seated in the rear of the vehicle were not belted at the time of the collision, having buckled the belt behind them. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,85020,PHOENIX,V2V F2R,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9573,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S10R1, ,,JLR,I-PACE, ,2024.0, ,916379bf05eaf32,11689.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,No,,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,11:11, ,dc36c40a6be7a25,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , ,Y, , , , ,Parked,No,No,No Passengers in Vehicle,0.0, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 11:11 AM CT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Austin, Texas was in a collision involving a van on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing northwest on [XXX] when a van traveling northwest in the rightmost lane of [XXX] passed the Waymo AV. As the van passed the parked Waymo AV, the passenger side of the van made contact with the driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The van sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,78702,AUSTIN,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9574,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S14R1, ,,JLR,I-PACE, ,2024.0, ,bdb4a338e7977cc,11979.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,09:39, ,e5598fc11cedbd3,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Santa Monica, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0.0, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 9:39 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Santa Monica, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing southeast on [XXX] when an SUV traveling southeast in the rightmost lane of [XXX] passed the Waymo AV.  As the SUV passed the parked Waymo AV, the passenger side of the SUV made contact with the driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,90402,LOS_ANGELES,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9575,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S1XM1, ,,JLR,I-PACE, ,2021.0, ,839ae0ee3c11b7d,93523.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,09:53, ,2e89fe082d7ab74,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Wet,"Other, see Narrative",25.0, ,Daylight, , , , ,Y, , , ,,Heavy Truck,No Injuries Reported,Yes,Passing,No,No, , , , , , , ,Y, , , ,Stopped,No,No,No Passengers in Vehicle,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 9:53 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing a malfunctioning traffic light on southbound [XXX] at the intersection with [XXX]. While the Waymo AV remained stopped and the traffic light was not illuminated, a heavy truck that had been stopped behind the Waymo AV entered the oncoming lane of [XXX] to maneuver around the Waymo AV. As the heavy truck was passing the stopped Waymo AV, the passenger side of the heavy truck made contact with the rear driver side corner of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94110,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9579,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S1XM1, ,,JLR,I-PACE, ,2021.0, ,ecc86902e84d762,91798.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,12:03, ,8eab3135244b7da,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,20.0, ,Daylight,Y, , , , , , , ,,Bus,No Injuries Reported,Yes,Changing Lanes,No,No, , , , , , , ,Y, , , ,Stopped,No,No,No Passengers in Vehicle,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 12:03 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a bus on [XXX] at [XXX].
The Waymo AV was stopped for a red traffic light in the rightmost lane of westbound [XXX], preparing to make a right turn onto northbound [XXX], when a bus that had been stopped behind the Waymo AV changed lanes into the left adjacent lane to maneuver around the Waymo AV. When the traffic light changed to green, the bus proceeded forward as it continued to change lanes. The Waymo AV remained stopped as it yielded to the bus. The passenger side of the bus then made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94108,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9580,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S11M1, ,,JLR,I-PACE, ,2021.0, ,3e0086bcdc26374,130811.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,01:58, ,191bbc2d74c32d0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,Heavy Truck,No Injuries Reported,Yes,Backing,No,No, , , , , , , ,Y, , , ,Stopped,No,No,No Passengers in Vehicle,0.0, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,Yes,San Francisco Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,Yes, ,"On December [XXX], 2024 at 1:58 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] at [XXX]. 
The Waymo AV was traveling northeast on [XXX]. As the Waymo AV approached the intersection with [XXX], a heavy truck initiated a wide left turn from southwest [XXX] onto southeast [XXX]. The Waymo AV came to a stop at the four-way stop sign to prepare to cross the intersection with [XXX]. While the heavy truck was partially on [XXX] and partially on [XXX], the Waymo AV entered the intersection to maneuver around the right side of the heavy truck, but immediately came to a stop as the heavy truck began reversing. The passenger side of the heavy truck then made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94124,SAN_FRANCISCO,V2V Backing,True,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9582,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S15M1, ,,JLR,I-PACE, ,2021.0, ,7bd1c7316381db5,110386.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,13:06, ,2e0f431011fd2cd,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Wet,No Unusual Conditions,15.0, ,Daylight, , , , ,Y, , , ,,Heavy Truck,No Injuries Reported,Yes,Passing,No,No, , , , , , , ,Y, , , ,Parked,No,No,No Passengers in Vehicle,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 1:06 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on [XXX] near [XXX]. 
The Waymo AV was parked on the right side of northeastbound [XXX] when a heavy truck traveling northeast on [XXX] passed the Waymo AV. The passenger side of the heavy truck then made contact with the rear driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", ,True,94105,SAN_FRANCISCO,V2V Lateral,False,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9583,1,Waymo LLC,Monthly,12.0,2024.0,JAN-2025,SADHW2S19R1, ,,JLR,I-PACE, ,2024.0, ,c83d79f88ad4fbc,3941.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,08:19, ,5573d5c651733e4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Passenger Car,Minor,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Proceeding Straight,No,No,Yes,2.0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On December [XXX], 2024 at 8:19 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX].
The Waymo AV was traveling east on [XXX] when it began to brake to yield to traffic ahead. As the Waymo AV continued to brake, a passenger car traveling directly behind the Waymo AV approached the Waymo AV from behind. The front of the passenger car then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage. The passenger in the Waymo AV reported a minor injury.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,94104,SAN_FRANCISCO,V2V F2R,False,True,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
30270-9330,1,Waymo LLC,5-Day,,,DEC-2024,SADHW2S11R1, ,,Jaguar,I-Pace, ,2024.0, ,40e938bac6de702,23986.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA PUC, CA DMV",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,DEC-2024, ,DEC-2024,19:47, ,56694f085766eda,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Crossing into Opposing Lane,No,Yes, , ,Y, , ,Y, , , , , ,Stopped,No,Yes,Yes,0.0, , , ,Y, , ,Y, , , , , , , ,Y, ,Y,Y, , ,Yes,Los Angeles Police Department, ,Yes,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,,Y,,Y,Yes, ,"On December [XXX], 2024 at 7:47 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a passenger car on [XXX] at [XXX].   
The Waymo AV was stationary in the left turn lane of [XXX] preparing for an unprotected left turn onto southwestbound [XXX] when a passenger car traveling southeast in the center lane of South [XXX] entered the intersection and departed its lane into the path of left-turning traffic from northwestbound South [XXX]. The front driver side of the passenger car then made contact with the front driver side of the stationary Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.", ,False,90025,LOS_ANGELES,V2V Head-on,True,False,prior_june16,,,,,,,,,,,,,,,,,,,,,,,,,,,
